profile_id,canonical_name,canonical_key,catalog_class,catalog_reason,total_mentions,total_chunks,total_works,matched_chunk_count,matched_work_count,variant_count,collections,topic_families,variants,top_plant_parts,top_preparations,top_conditions,top_cautions,top_supporting_works,source_family_refs
seed-lemon,Lemon,lemon,culinary-medicinal-plant,curated-high-confidence-seed-term,7210,6659,757,6659,757,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;convalescence;culinary-herbs;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Lemon;Lemons,Fruit;Bark;Root;Flower;Leaf,Juice;Oil;Syrup;Powder;Tea,Fever;Cold or catarrh;Vomiting or nausea;Diarrhoea or looseness;Inflammation,Dose caution;Bleeding caution;Narcotic or sedative caution;Child-use caution;Fatal-risk warning,wellcome-ujbsp48n;wellcome-vcp6d7za;wellcome-q648cs3p;wellcome-m8qd4bew;nlm-2702091R,term-lemon-f464d7d71c#lemon
seed-orange,Orange,orange,culinary-medicinal-plant,curated-high-confidence-seed-term,2773,2614,564,2614,564,6,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;culinary-herbs;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Orange;Oranges;Orange Flowers;Orange Flower;Orange Berries;Orange Berry,Flower;Root;Fruit;Bark;Leaf,Juice;Syrup;Oil;Tea;Powder,Fever;Cold or catarrh;Vomiting or nausea;Diarrhoea or looseness;Epilepsy or convulsions,Dose caution;Narcotic or sedative caution;Child-use caution;Bleeding caution;Toxicity watch,wellcome-ujbsp48n;wellcome-vcp6d7za;wellcome-q648cs3p;wellcome-dkebu9hu;wellcome-bsnmkdkc,term-orange-1b4c9133da#orange
seed-violet,Violet,violet,culinary-medicinal-plant,curated-high-confidence-seed-term,1306,1211,318,1211,318,4,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;culinary-herbs;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Violet;Violets;Violet Flowers;Violet Flower,Flower;Leaf;Root;Seed;Gum,Syrup;Oil;Juice;Powder;Tincture,Cold or catarrh;Cough;Wounds or ulcers;Fever;Vomiting or nausea,Dose caution;Child-use caution;Narcotic or sedative caution;Toxicity watch;Bleeding caution,wellcome-ujbsp48n;nlm-2751057R;wellcome-kxejz6hv;pg-49513;wellcome-c4ncu7qz,term-violet-22d2084f01#violet
seed-anise,Anise,anise,culinary-medicinal-plant,curated-high-confidence-seed-term,1268,1135,347,1135,347,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;convalescence;culinary-herbs;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Anise,Seed;Root;Bark;Gum;Leaf,Oil;Tincture;Powder;Tea;Essence,Cough;Cold or catarrh;Colic;Vomiting or nausea;Fever,Dose caution;Narcotic or sedative caution;Child-use caution;Toxicity watch;Fatal-risk warning,wellcome-ujbsp48n;wellcome-dvdzaqep;nlm-61820150R;wellcome-dkebu9hu;wellcome-fwzua59q,term-anise-a56fc8aaf1#anise
seed-caraway,Caraway,caraway,culinary-medicinal-plant,curated-high-confidence-seed-term,1205,1092,313,1092,313,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;culinary-herbs;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Caraway;Caraways,Seed;Root;Leaf;Berry;Flower,Oil;Powder;Syrup;Pill;Tincture,Cold or catarrh;Colic;Diarrhoea or looseness;Cough;Wounds or ulcers,Dose caution;Narcotic or sedative caution;Child-use caution;Toxicity watch;Allergy or sensitivity caution,wellcome-q648cs3p;wellcome-ujbsp48n;wellcome-dwk6bbmw;wellcome-c3u76kss;wellcome-nhx2ne6y,term-caraway-8d92bcadd1#caraway
seed-fennel,Fennel,fennel,culinary-medicinal-plant,curated-high-confidence-seed-term,1059,1012,391,1012,391,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;convalescence;culinary-herbs;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Fennel,Seed;Root;Leaf;Flower;Berry,Oil;Powder;Juice;Syrup;Tea,Cold or catarrh;Wounds or ulcers;Fever;Colic;Dropsy,Dose caution;Child-use caution;Narcotic or sedative caution;Toxicity watch;Allergy or sensitivity caution,wellcome-ujbsp48n;nlm-63610340R;wellcome-q648cs3p;wellcome-takhmyez;wellcome-cfrchse5,term-fennel-1e36798f67#fennel
seed-rosemary,Rosemary,rosemary,culinary-medicinal-plant,curated-high-confidence-seed-term,984,886,315,886,315,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;culinary-herbs;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Rosemary;Rosemary Flowers,Flower;Root;Leaf;Seed;Tops,Oil;Tincture;Liniment;Powder;Bath,Cold or catarrh;Rheumatism;Wounds or ulcers;Cough;Colic,Dose caution;Narcotic or sedative caution;Child-use caution;Toxicity watch;Fatal-risk warning,wellcome-ujbsp48n;wellcome-q648cs3p;wellcome-yfu6989c;wellcome-fwzua59q;wellcome-ctkumbc4,term-rosemary-f5b1f644f7#rosemary
seed-mint,Mint,mint,culinary-medicinal-plant,curated-high-confidence-seed-term,911,845,370,845,370,2,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;culinary-herbs;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Mint;Mints,Gum;Leaf;Root;Bark;Seed,Oil;Powder;Tea;Syrup;Plaster,Vomiting or nausea;Cold or catarrh;Rheumatism;Fever;Diarrhoea or looseness,Dose caution;Narcotic or sedative caution;Child-use caution;Allergy or sensitivity caution;Bleeding caution,wellcome-ujbsp48n;wellcome-a264n73x;wellcome-takhmyez;wellcome-vcp6d7za;nlm-64210130R,term-mint-dc6f17bbec#mint
seed-sage,Sage,sage,culinary-medicinal-plant,curated-high-confidence-seed-term,736,656,319,656,319,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botany;convalescence;culinary-herbs;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia;public-health,Sage,Leaf;Flower;Root;Bark;Seed,Tea;Infusion;Gargle;Decoction;Tincture,Cold or catarrh;Fever;Vomiting or nausea;Wounds or ulcers;Cough,Dose caution;Child-use caution;Bleeding caution;Narcotic or sedative caution;Allergy or sensitivity caution,wellcome-ujbsp48n;nlm-100912803;nlm-63570990R;wellcome-m43ephex;nlm-0140313,term-sage-7e5d4325a4#sage
seed-spearmint,Spearmint,spearmint,culinary-medicinal-plant,manual-curator-promoted-specific-family,547,497,214,497,214,1,nlm-digital-collections;project-gutenberg;wellcome-collection,botanic-medicine;botany;cultivation;dietetics;domestic-medicine;herbal;household-health;hygiene;materia-medica;medical-botany;medicinal-plants;nursing;pharmacopoeia,Spearmint,Leaf;Root;Bark;Flower;Seed,Oil;Tea;Infusion;Tincture;Essence,Vomiting or nausea;Cold or catarrh;Inflammation;Fever;Colic,Dose caution;Child-use caution;Narcotic or sedative caution;Allergy or sensitivity caution;Fatal-risk warning,nlm-63580630R;wellcome-jamxx58n;nlm-64210130R;nlm-61660590R;nlm-101485225,term-spearmint-509c701f67#spearmint
