work_id,title,collection_id,topic_family,source_mode,chunk_count,paragraph_count,section_count,thin_band,review_class,recommended_action,heuristic_score,family_id,family_label,family_work_count,family_chunked_count,member_role,reference_signals,fragment_signals,heuristic_reasons,manifest_path
wellcome-rsy9fb9q,"E.S.H. Leonard--druggist, no. 11, South-Main Street, Providence, R.I. has constantly for sale, on the most liberal terms, an extensive assortment of genuine drugs, medicines, dye-stuffs, surgeons' instruments, chemical glass ware, English fancy soap, perfumery, &c. comprising nearly every article usually called for in the medicinal or drug line.",wellcome-collection,herbal,wellcome_text_api,2,2,1,micro,thin-general,review-for-quarantine-or-lower-weight,210,family-e-s-h-leonard-druggist-no-11-south-main-street-p-a6505e384d,"E.S.H. Leonard--druggist, no. 11, South-Main Street, Providence, R.I. has constantly for sale, on the most liberal terms, an extensive assortment of genuine drugs, medicines, dye-stuffs, surgeons' instruments, chemical glass ware, English fancy soap, perfumery, &c. comprising nearly every article usually called for in the medicinal or drug line.",2,1,canonical,,,micro-length;single-section-shape;multi-work-family,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-rsy9fb9q\manifest.json
nlm-101678181,Preliminary note on a new medicinal plant and its alkaloid,nlm-digital-collections,medicinal-plants,,6,6,1,micro,micro-fragment,keep-but-review-retrieval-weight,210,family-preliminary-note-on-a-new-medicinal-plant-and-it-c195ee66e1,Preliminary note on a new medicinal plant and its alkaloid,1,1,canonical,medicinal-plants,note,micro-length;single-section-shape;fragment-shaped-title:note;reference-shaped-title:medicinal-plants,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101678181\manifest.json
nlm-63620020R,The American practice of domestic medicine,nlm-digital-collections,domestic-medicine,,9,13,1,micro,thin-general,review-for-quarantine-or-lower-weight,210,family-american-practice-of-domestic-medicine-salter-sf-3e9a628400,The American practice of domestic medicine,2,1,canonical,,,micro-length;single-section-shape;multi-work-family,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-63620020R\manifest.json
nlm-2544059R,"Domestic medicine : or, A treatise on the prevention and cure of diseases, by regimen and simple medicines : with an appendix, containing a dispensatory for the use of private practitioners",nlm-digital-collections,herbal;domestic-medicine,,10,20,4,micro,micro-fragment,review-family-supplement-weight,204,family-domestic-medicine-buchan-w1-7028d904c7,Domestic medicine,17,13,edition,dispensatory,appendix,micro-length;fragment-shaped-title:appendix;multi-work-family;reference-shaped-title:dispensatory,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-2544059R\manifest.json
wellcome-yh34dveb,"The pharmacopoeia universalis; or, complete encyclopedia of the materia medica. Contained in the pharmacopoeias of London, Edinburgh, and Dublin, as well as of all those of Europe and America, dispensatories, formularies, and chemical works of Ainslie [et al.]; giving the officinal [sic] and other synonimes [sic] and scientific characters of simple substances, the preparations of the compounds, according to the various formulae, and the usual doses prescribed. With an appendix. Containing the charters, laws, and regulations, affecting the medical profession; and an outline of medical chemistry, and manipulations in the manufacture of drugs and medicinal waters; including the most recent discoveries in pharmacy / Edited by J. Rennie.",wellcome-collection,herbal;materia-medica;pharmacopoeia,,1,2,1,micro,micro-fragment,keep-but-review-retrieval-weight,202,family-pharmacopoeia-universalis-or-complete-encycloped-1d5f2602e7,"The pharmacopoeia universalis; or, complete encyclopedia of the materia medica. Contained in the pharmacopoeias of London, Edinburgh, and Dublin, as well as of all those of Europe and America, dispensatories, formularies, and chemical works of Ainslie [et al.]; giving the officinal [sic] and other synonimes [sic] and scientific characters of simple substances, the preparations of the compounds, according to the various formulae, and the usual doses prescribed. With an appendix. Containing the charters, laws, and regulations, affecting the medical profession; and an outline of medical chemistry, and manipulations in the manufacture of drugs and medicinal waters; including the most recent discoveries in pharmacy",1,1,canonical,materia-medica;pharmacopoeia;conspectus,appendix,micro-length;single-section-shape;fragment-shaped-title:appendix;reference-shaped-title:materia-medica|pharmacopoeia|conspectus,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-yh34dveb\manifest.json
wellcome-brgqaymd,On the distinctive characters of the roots of aconitum napellus (monkshood) and cochlearia armoracia (horse-radish) / by Robert Bentley.,wellcome-collection,herbal,wellcome_text_api,10,11,1,micro,thin-general,review-for-quarantine-or-lower-weight,198,family-on-the-distinctive-characters-of-the-roots-of-ac-8b1d7d961a,On the distinctive characters of the roots of aconitum napellus (monkshood) and cochlearia armoracia (horse-radish),1,1,canonical,,,micro-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-brgqaymd\manifest.json
nlm-101719212,The practice of medicine by the Chinese in America,nlm-digital-collections,herbal,,12,13,1,micro,thin-general,review-for-quarantine-or-lower-weight,198,family-practice-of-medicine-by-the-chinese-in-america-c-24e311e0cf,The practice of medicine by the Chinese in America,1,1,canonical,,,micro-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-101719212\manifest.json
wellcome-adrgcmv2,"7 valuable plants / illustrated and described by Charles Adams, medical specialist ; with advice on indigestion.",wellcome-collection,herbal,wellcome_text_api,14,15,1,micro,thin-general,review-for-quarantine-or-lower-weight,198,family-7-valuable-plants-unknown-f6d7823169,7 valuable plants,1,1,canonical,,,micro-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-adrgcmv2\manifest.json
wellcome-cek32jpp,"Compendium pharmaceuticum : militaribus gallorum nosocomiis, in orbo novo boreali adscriptum.",wellcome-collection,materia-medica,wellcome_text_api,15,16,1,micro,thin-general,review-for-quarantine-or-lower-weight,198,family-compendium-pharmaceuticum-unknown-6ba35f3e6d,Compendium pharmaceuticum,1,1,canonical,,,micro-length;single-section-shape,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\wellcome-cek32jpp\manifest.json
nlm-2561024R,"The Edinburgh new dispensatory ... : with explanatory, critical, and practical observations on each : together with the addition of those formulae, from the best foreign pharmacopoeias, which are held in highest esteem in other parts of Europe ; the whole interspersed with practical cautions and observations, and enriched by the latest discoveries in natural history, chemistry, and medicine ; with new tables of elective attractions, of antimony, of mercury, &c. ; and copperplates of the most convenient furnaces, and principal pharmaceutical instruments ; being an improvement upon the New dispensatory of Dr. Lewis",nlm-digital-collections,materia-medica;pharmacopoeia,,8,18,1,micro,severe-thin-reference,keep-but-review-retrieval-weight,196,family-edinburgh-new-dispensatory-lewis-w1-5b85984b89,The Edinburgh new dispensatory ...,7,4,edition,dispensatory,,micro-length;single-section-shape;multi-work-family;reference-shaped-title:dispensatory,C:\Users\Superuser\Documents\Codex\2026-06-15\files-mentioned-by-the-user-natural\outputs\herbalisti-site\corpus\works\nlm-2561024R\manifest.json
