rank,frontier_score,frontier_stage,family_id,family_label,canonical_work_id,family_work_count,family_chunked_count,family_discovered_count,family_failed_count,family_collection_ids,family_jurisdiction_lanes,family_topic_family,candidate_work_id,candidate_title,candidate_collection_id,candidate_jurisdiction_lane,candidate_creator,candidate_publication_year,candidate_ingest_status,candidate_member_role,candidate_volume_like,candidate_series_title_key,candidate_creator_title_key,candidate_priority_score,candidate_title_penalty,candidate_topic_score,candidate_archive_series_count,candidate_archive_creator_series_count,candidate_archive_series_penalty,candidate_archive_creator_series_penalty,rationale
1,1505,uncovered_family,family-aristotles-complete-master-piece-in-two-parts-un-234d9e8e19,"Aristotle's complete master-piece, in two parts",nlm-2541058R,2,0,2,0,nlm-digital-collections,US,domestic-medicine,nlm-2541058R,"Aristotle's complete master-piece, in two parts : displaying the secrets of nature in the generation of man ... To which is added A treasure of health: or The family physician : being choice and approved remedies for all the several distempers incident to the human body",nlm-digital-collections,US,,,discovered,canonical,no,aristotles complete master piece in two parts,unknown::aristotles complete master piece in two parts,475,0,88,0,0,0,0,Uncovered family; 2 works in family; 0 chunked; 2 discovered; topics: domestic-medicine; recommended lane: nlm-digital-collections; canonical candidate
2,1501,uncovered_family,family-aristotles-complete-master-piece-in-two-parts-di-f95f12c5aa,"Aristotle's complete master-piece, in two parts, displaying the secrets of nature in the generation of man. Regularly digested into chapters, rendering it far more useful and easy than any yet extant. To which is added A treasure of health, or the family physician , being choice and approved remedies for all the several distempers incident to the human body",nlm-101199051,1,0,1,0,nlm-digital-collections,US,domestic-medicine,nlm-101199051,"Aristotle's complete master-piece, in two parts, displaying the secrets of nature in the generation of man. Regularly digested into chapters, rendering it far more useful and easy than any yet extant. To which is added A treasure of health, or the family physician , being choice and approved remedies for all the several distempers incident to the human body",nlm-digital-collections,US,,,discovered,canonical,no,aristotles complete master piece in two parts displaying the secrets of nature in the generation of man regularly digested into chapters rendering it far more useful and easy than any yet extant,unknown::aristotles complete master piece in two parts displaying the secrets of nature in the generation of man regularly digested into chapters rendering it far more useful and easy than any yet extant,475,0,88,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: domestic-medicine; recommended lane: nlm-digital-collections; canonical candidate
3,1494,uncovered_family,family-improved-phreno-chart-and-compass-of-life-wickes-06dc3ce168,Improved phreno-chart and compass of life,nlm-101179368,1,0,1,0,nlm-digital-collections,US,domestic-medicine,nlm-101179368,"Improved phreno-chart and compass of life : a new, true, mental and spiritual science : nature's oracles revealed : guide to health , wealth and wisdom for young men and maidens : miniature mirror of mind and body : key to truth and principles, success in life, how to rise in the world, fill the highest attainable spheres of use with credit and honor : secrets of self-knowledge, signs and causes of passions and character, self-culture and cure without drugging : know, heal, perfect, and be thyself",nlm-digital-collections,US,"Wickes, Edward Z. (Edward Zeus) author.",,discovered,canonical,no,improved phreno chart and compass of life,wickes edward z::improved phreno chart and compass of life,482,0,90,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: domestic-medicine; recommended lane: nlm-digital-collections; canonical candidate
4,1494,uncovered_family,family-physiologist-or-sexual-physiology-revealed-beckl-ff8a100a8a,"The physiologist, or, Sexual physiology revealed",nlm-25940930R,1,0,1,0,nlm-digital-collections,US,domestic-medicine,nlm-25940930R,"The physiologist, or, Sexual physiology revealed : being mysteries and revelations in matters of great importance to the married and unmarried of both sexes, and useful hints to lovers, husbands, and wives : a complete guide to health , happiness, and personal beauty, containing such information as can be had by those only who have the advantage of a medical education : with practical remarks on manhood, with the causes of its premature decline, and modes of perfect restoration : economy and abuse of the generative organs, effects of excessive indulgence, love, courtship, and marriage, its proper season, directions for choosing a partner, mysteries of generation, causes and cure of barrenness, prevention of offspring, solitary practices, with their best mode of treatment, &c",nlm-digital-collections,US,"Becklard, Eugène.",,discovered,canonical,no,physiologist,becklard eugene::physiologist,482,0,90,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: domestic-medicine; recommended lane: nlm-digital-collections; canonical candidate
5,1488,uncovered_family,family-ladies-home-calisthenics-unknown-2c5c8a3cb4,Ladies' home calisthenics,nlm-07420170R,1,0,1,0,nlm-digital-collections,US,domestic-medicine,nlm-07420170R,Ladies' home calisthenics : a guide to health for women and children,nlm-digital-collections,US,,,discovered,canonical,no,ladies home calisthenics,unknown::ladies home calisthenics,476,0,90,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: domestic-medicine; recommended lane: nlm-digital-collections; canonical candidate
6,1487,uncovered_family,family-aristotles-compleat-master-piece-unknown-f1e7febedd,Aristotle's compleat master-piece,nlm-101135080,1,0,1,0,nlm-digital-collections,US,domestic-medicine,nlm-101135080,"Aristotle's compleat master-piece : in three parts : displaying the secrets of nature in the generation of man : regularly digested into chapters and sections, rendring it far more useful and easy than any yet extant : to which is added, A treasure of health, or, The family physician : being choice and approved remedies for all the several distempers incident to human bodies",nlm-digital-collections,US,,,discovered,canonical,no,aristotles compleat master piece,unknown::aristotles compleat master piece,475,0,88,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: domestic-medicine; recommended lane: nlm-digital-collections; canonical candidate
7,1487,uncovered_family,family-aristotles-complete-master-piece-unknown-05e3e157d8,Aristotle's complete master-piece,nlm-2541055R,1,0,1,0,nlm-digital-collections,US,domestic-medicine,nlm-2541055R,"Aristotle's complete master-piece : in two parts : displaying the secrets of nature in the generation of man : regularly digested into chapters, rendering it far more useful and easy than any yet extant : to which is added, A treasure of health, or The family physician : being choice and approved remedies for all the several distempers incident to the human body : from a late London edition",nlm-digital-collections,US,,,discovered,canonical,no,aristotles complete master piece,unknown::aristotles complete master piece,475,0,88,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: domestic-medicine; recommended lane: nlm-digital-collections; canonical candidate
8,1487,uncovered_family,family-aristotles-master-piece-or-the-secrets-of-nature-a8b9e3b68a,"Aristotle's master-piece, or, The secrets of nature displayed in the generation of man",nlm-8206648,1,0,1,0,nlm-digital-collections,US,domestic-medicine,nlm-8206648,"Aristotle's master-piece, or, The secrets of nature displayed in the generation of man : complete in three parts : to which is added, A treasure of health, or, The family physician : being choice and approved remedies for all the several distempers incident to the human body : the whole being more correst than any thing of the kind hitherto published",nlm-digital-collections,US,,,discovered,canonical,no,aristotles master piece,unknown::aristotles master piece,475,0,88,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: domestic-medicine; recommended lane: nlm-digital-collections; canonical candidate
9,1487,uncovered_family,family-whole-of-aristotles-compleat-master-piece-unknow-fc13d5bcfc,The whole of Aristotle's compleat master-piece,nlm-2437030R,1,0,1,0,nlm-digital-collections,US,domestic-medicine,nlm-2437030R,"The whole of Aristotle's compleat master-piece : in three parts : displaying the secrets of nature in the generation of man : regularly digested into chapters and sections, rendering it far more easy than any yet extant : to which is added A treasure of health, or, The family physician : being choice and approved remedies for all the several distempers incident to human bodies, and containing many new recipes, not inserted in any other edition of this book",nlm-digital-collections,US,,,discovered,canonical,no,whole of aristotles compleat master piece,unknown::whole of aristotles compleat master piece,475,0,88,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: domestic-medicine; recommended lane: nlm-digital-collections; canonical candidate
10,1485,uncovered_family,family-vivilore-unknown-415caaba03,Vivilore,wellcome-wv3pdutk,1,0,1,0,wellcome-collection,UK,hygiene;materia-medica,wellcome-wv3pdutk,Vivilore : the pathway to mental and physical perfection the twentieth century book for every woman / by Mary Ries Melendy.,wellcome-collection,UK,,1904,discovered,canonical,no,vivilore,unknown::vivilore,477,0,70,0,0,0,0,Uncovered family; 1 works in family; 0 chunked; 1 discovered; topics: hygiene;materia-medica; recommended lane: wellcome-collection; canonical candidate
